"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Ingredient","6","0","Проверка типа ингредиента","0"
"0","","0","Bun","3","0","Получение наименования булочки","0"
"0","","0","Ingredient","1","0","Проверка имени ингредиента","0"
"0","","0","Burger","1","0","Получение цены бургера","0"
"0","","0","Ingredient Types","1","0","Проверка значений типов ингредиентов","0"
"0","","0","Ingredient Types","1","0","Проверка использования типов ингредиентов","0"
"0","","0","Bun","3","0","Получение цены булочки","0"
"0","","0","Database","2","0","Фильтрация ингредиентов по типу","0"
"0","","0","Burger","1","0","Получение чека бургера","0"
"0","","0","Database","1","0","Получение списка булок","0"
"0","","0","Database","1","0","Получение списка ингредиентов","0"
"0","","0","Burger","1","0","Установка булочек","0"
"0","","0","Ingredient","1","0","Проверка цены ингредиента","0"
"0","","0","Burger","1","0","Удаление ингредиента","0"
"0","","0","Burger","1","0","Перемещение ингредиента","0"
"0","","0","Burger","1","0","Добавление ингредиента","0"
"0","","0","Database","1","0","Проверка цен ингредиентов","0"
